date;value;daily_value
2024-10-10;4.09;0.01541877454751539
2024-10-09;4.06;0.015307890720372974
2024-10-08;4.04;0.015233950476223335
2024-10-07;4.03;0.015196975044329264
2024-10-04;3.98;0.015012044759088461
2024-10-03;3.85;0.01453081113318433
2024-10-02;3.79;0.014308500871851315
2024-10-01;3.74;0.014123144504907259
2024-09-30;3.81;0.014382618513675283
2024-09-27;3.75;0.014160222896753005
2024-09-26;3.79;0.014308500871851315
2024-09-25;3.79;0.014308500871851315
2024-09-24;3.74;0.014123144504907259
2024-09-23;3.75;0.014160222896753005
2024-09-20;3.73;0.01408606255250966
2024-09-19;3.73;0.01408606255250966
2024-09-18;3.7;0.013974795324855904
2024-09-17;3.65;0.013789278669684712
2024-09-16;3.63;0.01371504704505977
2024-09-13;3.66;0.013826389131499361
2024-09-12;3.68;0.01390059935759691
2024-09-11;3.65;0.013789278669684712
2024-09-10;3.65;0.013789278669684712
2024-09-09;3.7;0.013974795324855904
2024-09-06;3.72;0.014048977038805255
2024-09-05;3.73;0.01408606255250966
2024-09-04;3.77;0.014234369001364655
2024-09-03;3.84;0.014493768309620236
2024-08-30;3.91;0.014752993484168364
2024-08-29;3.87;0.014604886121838412
2024-08-28;3.84;0.014493768309620236
2024-08-27;3.83;0.014456721932298855
2024-08-26;3.82;0.014419672000531847
2024-08-23;3.81;0.014382618513675283
2024-08-22;3.86;0.014567850403701676
2024-08-21;3.79;0.014308500871851315
2024-08-20;3.82;0.014419672000531847
2024-08-19;3.86;0.014567850403701676
2024-08-16;3.89;0.014678946903656787
2024-08-15;3.92;0.014790011450616092
2024-08-14;3.83;0.014456721932298855
2024-08-13;3.85;0.01453081113318433
2024-08-12;3.9;0.014715971968737307
2024-08-09;3.94;0.014864036739337116
2024-08-08;3.99;0.015049037901815332
2024-08-07;3.96;0.014938047840340474
2024-08-06;3.9;0.014715971968737307
2024-08-05;3.78;0.01427143671552944
2024-08-02;3.8;0.014345561470996415
2024-08-01;3.99;0.015049037901815332
2024-07-31;4.09;0.01541877454751539
2024-07-30;4.15;0.015640446728393265
2024-07-29;4.17;0.01571430918678729
2024-07-26;4.2;0.015825076391262627
2024-07-25;4.27;0.016083409708378404
2024-07-24;4.28;0.016120300364352858
2024-07-23;4.25;0.016009617822088096
2024-07-22;4.26;0.01604651552784553
2024-07-19;4.25;0.016009617822088096
2024-07-18;4.2;0.015825076391262627
2024-07-17;4.16;0.015677379723588736
2024-07-16;4.17;0.01571430918678729
2024-07-15;4.23;0.01593581183221282
2024-07-12;4.18;0.01575123511869947
2024-07-11;4.2;0.015825076391262627
2024-07-10;4.28;0.016120300364352858
2024-07-09;4.3;0.016194071105313235
2024-07-08;4.28;0.016120300364352858
2024-07-05;4.28;0.016120300364352858
2024-07-03;4.36;0.016415298809069334
2024-07-02;4.43;0.01667323771570306
2024-07-01;4.48;0.0168573743649425
2024-06-28;4.36;0.016415298809069334
2024-06-27;4.29;0.01615718749643502
2024-06-26;4.32;0.016267827756166753
2024-06-25;4.23;0.01593581183221282
2024-06-24;4.25;0.016009617822088096
2024-06-21;4.25;0.016009617822088096
2024-06-20;4.25;0.016009617822088096
2024-06-18;4.22;0.0158989035467183
2024-06-17;4.28;0.016120300364352858
2024-06-14;4.2;0.015825076391262627
2024-06-13;4.24;0.015972716590439973
2024-06-12;4.31;0.016230951191675835
2024-06-11;4.39;0.01652586515226151
2024-06-10;4.47;0.01682055405862748
2024-06-07;4.43;0.01667323771570306
2024-06-06;4.28;0.016120300364352858
2024-06-05;4.29;0.01615718749643502
2024-06-04;4.33;0.01630470079949653
2024-06-03;4.41;0.01659955846422534
2024-05-31;4.51;0.016967814223978195
2024-05-30;4.55;0.01711501825467643
2024-05-29;4.61;0.017335719141997608
2024-05-28;4.54;0.017078222507271867
2024-05-24;4.46;0.016783730241209938
2024-05-23;4.47;0.01682055405862748
2024-05-22;4.43;0.01667323771570306
2024-05-21;4.41;0.01659955846422534
2024-05-20;4.44;0.016710072070424964
2024-05-17;4.42;0.016636399847191896
2024-05-16;4.38;0.01648901322188756
2024-05-15;4.36;0.016415298809069334
2024-05-14;4.45;0.016746902912045947
2024-05-13;4.48;0.0168573743649425
2024-05-10;4.5;0.016931004446951725
2024-05-09;4.45;0.016746902912045947
2024-05-08;4.48;0.0168573743649425
2024-05-07;4.47;0.01682055405862748
2024-05-06;4.49;0.016894191160821137
2024-05-03;4.5;0.016931004446951725
2024-05-02;4.58;0.01722538446511379
2024-05-01;4.63;0.01740925808351168
2024-04-30;4.69;0.017629790920081767
2024-04-29;4.63;0.01740925808351168
2024-04-26;4.67;0.017556293967202485
2024-04-25;4.7;0.017666534151605795
2024-04-24;4.65;0.017482783023470283
2024-04-23;4.61;0.017335719141997608
2024-04-22;4.62;0.01737249036326549
2024-04-19;4.62;0.01737249036326549
2024-04-18;4.64;0.017446022303335695
2024-04-17;4.59;0.01726216619357679
2024-04-16;4.67;0.017556293967202485
2024-04-15;4.63;0.01740925808351168
2024-04-12;4.5;0.016931004446951725
2024-04-11;4.56;0.017151810496329745
2024-04-10;4.55;0.01711501825467643
2024-04-09;4.36;0.016415298809069334
2024-04-08;4.42;0.016636399847191896
2024-04-05;4.39;0.01652586515226151
2024-04-04;4.31;0.016230951191675835
2024-04-03;4.36;0.016415298809069334
2024-04-02;4.36;0.016415298809069334
2024-04-01;4.33;0.01630470079949653
2024-03-28;4.2;0.015825076391262627
2024-03-27;4.2;0.015825076391262627
2024-03-26;4.24;0.015972716590439973
2024-03-25;4.25;0.016009617822088096
2024-03-22;4.22;0.0158989035467183
2024-03-21;4.27;0.016083409708378404
2024-03-20;4.27;0.016083409708378404
2024-03-19;4.3;0.016194071105313235
2024-03-18;4.34;0.01634157032228689
2024-03-15;4.31;0.016230951191675835
2024-03-14;4.29;0.01615718749643502
2024-03-13;4.19;0.015788157519969204
2024-03-12;4.16;0.015677379723588736
2024-03-11;4.1;0.01545572874885881
2024-03-08;4.09;0.01541877454751539
2024-03-07;4.09;0.01541877454751539
2024-03-06;4.11;0.015492679414164101
2024-03-05;4.13;0.015566570139324831
2024-03-04;4.22;0.0158989035467183
2024-03-01;4.19;0.015788157519969204
2024-02-29;4.25;0.016009617822088096
2024-02-28;4.27;0.016083409708378404
2024-02-27;4.31;0.016230951191675835
2024-02-26;4.28;0.016120300364352858
2024-02-23;4.26;0.01604651552784553
2024-02-22;4.33;0.01630470079949653
2024-02-21;4.32;0.016267827756166753
2024-02-20;4.27;0.016083409708378404
2024-02-16;4.3;0.016194071105313235
2024-02-15;4.24;0.015972716590439973
2024-02-14;4.27;0.016083409708378404
2024-02-13;4.31;0.016230951191675835
2024-02-12;4.17;0.01571430918678729
2024-02-09;4.17;0.01571430918678729
2024-02-08;4.15;0.015640446728393265
2024-02-07;4.09;0.01541877454751539
2024-02-06;4.09;0.01541877454751539
2024-02-05;4.17;0.01571430918678729
2024-02-02;4.03;0.015196975044329264
2024-02-01;3.87;0.014604886121838412
2024-01-31;3.99;0.015049037901815332
2024-01-30;4.06;0.015307890720372974
2024-01-29;4.08;0.015381816809445503
2024-01-26;4.15;0.015640446728393265
2024-01-25;4.14;0.015603510200512538
